message,severity,attributes,tags,timestamp
         at Npgsql.Util.NpgsqlTimeout.Check(),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050486733Z
         at Npgsql.Util.NpgsqlTimeout.CheckAndGetTimeLeft(),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050493288Z
"         at Npgsql.TaskTimeoutAndCancellation.ExecuteAsync(Func`2 getTaskFunc, NpgsqlTimeout timeout, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050500866Z
"         at Npgsql.Internal.NpgsqlConnector.ConnectAsync(NpgsqlTimeout timeout, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050507672Z
"         at Npgsql.Internal.NpgsqlConnector.ConnectAsync(NpgsqlTimeout timeout, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050515165Z
"         at Npgsql.Internal.NpgsqlConnector.RawOpen(SslMode sslMode, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken, Boolean isFirstAttempt)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050521806Z
"         at Npgsql.Internal.NpgsqlConnector.<Open>g__OpenCore|213_1(NpgsqlConnector conn, SslMode sslMode, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken, Boolean isFirstAttempt)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050600902Z
"         at Npgsql.Internal.NpgsqlConnector.Open(NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050608441Z
"         at Npgsql.PoolingDataSource.OpenNewConnector(NpgsqlConnection conn, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050615246Z
"         at Npgsql.PoolingDataSource.<Get>g__RentAsync|34_0(NpgsqlConnection conn, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050621590Z
"         at Npgsql.NpgsqlConnection.<Open>g__OpenAsync|42_0(Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050628535Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenInternalAsync(Boolean errorsExpected, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050634877Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenInternalAsync(Boolean errorsExpected, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050643730Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenAsync(CancellationToken cancellationToken, Boolean errorsExpected)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050651096Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalCommand.ExecuteReaderAsync(RelationalCommandParameterObject parameterObject, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050655666Z
"         at Microsoft.EntityFrameworkCore.Query.Internal.SingleQueryingEnumerable`1.AsyncEnumerator.InitializeReaderAsync(AsyncEnumerator enumerator, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050661125Z
"         at Npgsql.EntityFrameworkCore.PostgreSQL.Storage.Internal.NpgsqlExecutionStrategy.ExecuteAsync[TState,TResult](TState state, Func`4 operation, Func`4 verifySucceeded, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050668535Z
       ---> System.TimeoutException: The operation has timed out.,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051156620Z
"         at Npgsql.Internal.NpgsqlConnector.ConnectAsync(NpgsqlTimeout timeout, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051167168Z
         at Npgsql.ThrowHelper.ThrowNpgsqlExceptionWithInnerTimeoutException(String message),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051167398Z
         at Npgsql.Util.NpgsqlTimeout.Check(),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051204826Z
         --- End of inner exception stack trace ---,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051208299Z
         at Npgsql.Util.NpgsqlTimeout.CheckAndGetTimeLeft(),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051212917Z
"         at Npgsql.EntityFrameworkCore.PostgreSQL.Storage.Internal.NpgsqlExecutionStrategy.ExecuteAsync[TState,TResult](TState state, Func`4 operation, Func`4 verifySucceeded, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051215564Z
"         at Npgsql.TaskTimeoutAndCancellation.ExecuteAsync(Func`2 getTaskFunc, NpgsqlTimeout timeout, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051220136Z
         at Microsoft.EntityFrameworkCore.Query.Internal.SingleQueryingEnumerable`1.AsyncEnumerator.MoveNextAsync(),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051222864Z
      System.InvalidOperationException: An exception has been raised that is likely due to a transient failure.,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051229178Z
       ---> Npgsql.NpgsqlException (0x80004005): Failed to connect to 57.182.231.186:5432,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051237589Z
       ---> Npgsql.NpgsqlException (0x80004005): The operation has timed out,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051244306Z
"         at Npgsql.Internal.NpgsqlConnector.ConnectAsync(NpgsqlTimeout timeout, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051266275Z
"         at Npgsql.Internal.NpgsqlConnector.RawOpen(SslMode sslMode, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken, Boolean isFirstAttempt)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.051276081Z
"         at Npgsql.Internal.NpgsqlConnector.<Open>g__OpenCore|213_1(NpgsqlConnector conn, SslMode sslMode, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken, Boolean isFirstAttempt)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052678725Z
"         at Npgsql.Internal.NpgsqlConnector.Open(NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052694324Z
"         at Npgsql.PoolingDataSource.OpenNewConnector(NpgsqlConnection conn, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052702979Z
"         at Npgsql.PoolingDataSource.<Get>g__RentAsync|34_0(NpgsqlConnection conn, NpgsqlTimeout timeout, Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052710187Z
"         at Npgsql.NpgsqlConnection.<Open>g__OpenAsync|42_0(Boolean async, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052716488Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenInternalAsync(Boolean errorsExpected, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052724385Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenInternalAsync(Boolean errorsExpected, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052732981Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalConnection.OpenAsync(CancellationToken cancellationToken, Boolean errorsExpected)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052739770Z
"         at Microsoft.EntityFrameworkCore.Storage.RelationalCommand.ExecuteReaderAsync(RelationalCommandParameterObject parameterObject, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052746570Z
"         at Microsoft.EntityFrameworkCore.Query.Internal.SingleQueryingEnumerable`1.AsyncEnumerator.InitializeReaderAsync(AsyncEnumerator enumerator, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052753883Z
"         at Npgsql.EntityFrameworkCore.PostgreSQL.Storage.Internal.NpgsqlExecutionStrategy.ExecuteAsync[TState,TResult](TState state, Func`4 operation, Func`4 verifySucceeded, CancellationToken cancellationToken)",info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.052760433Z
         --- End of inner exception stack trace ---,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.054615052Z
